note_id,xsec_token,title,author,like_count,url
6a3a2c18000000000702f3e2,AB0jYy-TVXAM8NHW_rX0hP7drfIFVKQqoDJae2RtBKQyY=,GPT不同套餐对比❤️,Codex充值助手,39,https://www.xiaohongshu.com/search_result/6a3a2c18000000000702f3e2?xsec_token=AB0jYy-TVXAM8NHW_rX0hP7drfIFVKQqoDJae2RtBKQyY=&xsec_source=
6a3e3f0f0000000022017c3a,AB5FV-Ot3d2TpkyjeU_22BrsZBOj1Q9JrwqDFt8aoFT9M=,有人领到过chat GPT会员吗,Scarlett,26,https://www.xiaohongshu.com/search_result/6a3e3f0f0000000022017c3a?xsec_token=AB5FV-Ot3d2TpkyjeU_22BrsZBOj1Q9JrwqDFt8aoFT9M=&xsec_source=
6a49575b000000000f03061e,ABlkp3KgOEi2XYkpvcp4Y0PDlEowcINTlqK43o9i-yoDs=,还有多少人不会用chatgpt plus,颜颜,44,https://www.xiaohongshu.com/search_result/6a49575b000000000f03061e?xsec_token=ABlkp3KgOEi2XYkpvcp4Y0PDlEowcINTlqK43o9i-yoDs=&xsec_source=
6a454523000000000803fb4f,AB4DUM7YxsT2jIc7S9olLWHizgT9X1EKQrwMbxpw4ZbJM=,chatgpt plus三个月五折优惠。,竑予,23,https://www.xiaohongshu.com/search_result/6a454523000000000803fb4f?xsec_token=AB4DUM7YxsT2jIc7S9olLWHizgT9X1EKQrwMbxpw4ZbJM=&xsec_source=
689ff891000000001b03d4aa,ABkw4YF6R4OYgWj4u-F8IqQCC-YdBQcLPCftfx3gwDXdE=,🇲🇾 ChatGPT里这个功能一定要关,小李开箱MY,2759,https://www.xiaohongshu.com/search_result/689ff891000000001b03d4aa?xsec_token=ABkw4YF6R4OYgWj4u-F8IqQCC-YdBQcLPCftfx3gwDXdE=&xsec_source=
6a0465e30000000035027980,ABEdb0ld6G0pb1wvp0ky7-yeuqZiofSabNx7QWJqEDRbI=,升级后的ChatGPT做PPT好强！,尚晶SJ,140,https://www.xiaohongshu.com/search_result/6a0465e30000000035027980?xsec_token=ABEdb0ld6G0pb1wvp0ky7-yeuqZiofSabNx7QWJqEDRbI=&xsec_source=
6a473fcf00000000110122ed,ABc_7FZ-Sp3SqGqdP22hmEv0q01EX6HHDsV1k9vSmoCik=,还有多少人不会用chatgpt plus,黑楼桑,1826,https://www.xiaohongshu.com/search_result/6a473fcf00000000110122ed?xsec_token=ABc_7FZ-Sp3SqGqdP22hmEv0q01EX6HHDsV1k9vSmoCik=&xsec_source=
6a44b79d00000000160258ca,ABmGjY8SG5EAios5oaGDt0cn-x4m05oxAaisEz8P9c530=,chatgpt怎么付款？,小白,21,https://www.xiaohongshu.com/search_result/6a44b79d00000000160258ca?xsec_token=ABmGjY8SG5EAios5oaGDt0cn-x4m05oxAaisEz8P9c530=&xsec_source=
6a333f9e0000000006034297,AB48Y0WkYQCgszDDQA2niP7Zh2_c2TGcpn0Czf9Bn1QLs=,GPT土耳其涨价,GaoPeer,68,https://www.xiaohongshu.com/search_result/6a333f9e0000000006034297?xsec_token=AB48Y0WkYQCgszDDQA2niP7Zh2_c2TGcpn0Czf9Bn1QLs=&xsec_source=
6a476e800000000008024083,ABc_7FZ-Sp3SqGqdP22hmEv2wiM5gzfwkcKQpXFNyupBQ=,ChatGPT免费版！！！,Orian,53,https://www.xiaohongshu.com/search_result/6a476e800000000008024083?xsec_token=ABc_7FZ-Sp3SqGqdP22hmEv2wiM5gzfwkcKQpXFNyupBQ=&xsec_source=
690d55380000000004028db4,ABL0YgxJGeF51qElrZdUq3MDF5YMJI2NSOzrPzobqUC_k=,gpt go终于赶上India的福利了,看到请叫我去学习,12,https://www.xiaohongshu.com/search_result/690d55380000000004028db4?xsec_token=ABL0YgxJGeF51qElrZdUq3MDF5YMJI2NSOzrPzobqUC_k=&xsec_source=
6a4b8c31000000000f03008f,ABQZGHPekp6dvTmZAZpkNYUwsjKTFmeBkbFLyb-obtayw=,GPT-5.6即将发布,搜罗Tool,2,https://www.xiaohongshu.com/search_result/6a4b8c31000000000f03008f?xsec_token=ABQZGHPekp6dvTmZAZpkNYUwsjKTFmeBkbFLyb-obtayw=&xsec_source=
6a4c0e3d000000000e038401,ABAXwJZZTD5BXuPjwM_LrzeR75pvOKD8oBCrB3ACghAEY=,ChatGPT 5.6 要来了？Sol Ultra 模式曝光,AE,9,https://www.xiaohongshu.com/search_result/6a4c0e3d000000000e038401?xsec_token=ABAXwJZZTD5BXuPjwM_LrzeR75pvOKD8oBCrB3ACghAEY=&xsec_source=
690b38da00000000040129e1,AB5ThlLylv2Nhn1eyr6GjLM7If9V9yU5JEX5kc_LPev0U=,爽拿一年GPT go,杏林满川🍭,127,https://www.xiaohongshu.com/search_result/690b38da00000000040129e1?xsec_token=AB5ThlLylv2Nhn1eyr6GjLM7If9V9yU5JEX5kc_LPev0U=&xsec_source=
6a475e120000000017029025,ABc_7FZ-Sp3SqGqdP22hmEvxzTvsiPV2EOF6oQxYUVvOM=,才聊了没多久,sunshine,624,https://www.xiaohongshu.com/search_result/6a475e120000000017029025?xsec_token=ABc_7FZ-Sp3SqGqdP22hmEvxzTvsiPV2EOF6oQxYUVvOM=&xsec_source=
6a3736a4000000002101a2f6,ABw-i-rQ6LZQdpfUTQNQuNDTb5V0yKLhRKDX4XqW-HZFQ=,小白学GPT保姆级教程,夏莲,15,https://www.xiaohongshu.com/search_result/6a3736a4000000002101a2f6?xsec_token=ABw-i-rQ6LZQdpfUTQNQuNDTb5V0yKLhRKDX4XqW-HZFQ=&xsec_source=
